region,key,value
Americas,United States,14606
Asia,China,3521
Asia,Japan,1286
Americas,Canada,1518
Asia,Thailand,352
Europe,United Kingdom,988
Asia,South Korea,1231
Asia,Taiwan,458
Europe,Turkey,453
Asia,Indonesia,365
Asia,Philippines,360
Asia,chiyoko,888
