region,subregion,key,value
Americas,Northern America,United States,14606
Asia,Eastern Asia,China,3521
Asia,Eastern Asia,Japan,1286
Americas,Northern America,Canada,1518
Asia,South-Eastern Asia,Thailand,352
Europe,Northern Europe,United Kingdom,988
Asia,Eastern Asia,South Korea,1231
Asia,Eastern Asia,Taiwan,458
Asia,Western Asia,Turkey,453
Asia,South-Eastern Asia,Indonesia,365
Asia,South-Eastern Asia,Philippines,360
