year,company_operated,licensed
2005,4918,2435
2006,5728,3168
2007,6793,3891
2008,7238,4329
2009,6764,4364
2010,6707,4424
2011,6705,4082
2012,6856,4189
2013,7049,4408
2014,7303,4659
2015,7559,4962
2016,7880,5292
2017,8222,5708
2018,8575,6031
2019,8791,6250
